Model,R2,RMSE,MAE,Correlation
SVR,0.8758739872383678,0.32574702337679545,0.2766995954400223,0.9614804379481976
RF,0.8504209810680434,0.35758919996451305,0.2906628239492433,0.9340960132780219
XGB,0.8765062627573732,0.3249163158684377,0.26667032421305575,0.9434489514562777
MLP,0.9101924482983386,0.27708019326568295,0.22824413172643263,0.9575548991100465
LSTM,0.9199762605312944,0.261552258397187,0.21855649987127315,0.963284095912494
