Year,Ensemble_SPI,Random Forest,Gradient Boosting,MLP,SVR
2024,-0.10246123832028144,-0.15598535641187375,-0.029206060174488405,-0.13245615141122272,-0.09219738528354086
2025,-0.07139583598210206,-0.06256810099012027,-0.08346188247823653,0.0376463517662707,-0.1771997122263221
2026,-0.08334518277273958,-0.07944848145610445,-0.16014314641535754,0.060380843925561554,-0.15416994714505788
2027,-0.053899673008985564,-0.08616800638221772,-0.15685598756259309,0.07970435447364146,-0.052279052564772915
2028,-0.010790603960332315,-0.02777623490024446,-0.11768179904906213,0.0839651799151801,0.018330438192797234
2029,-0.012235765138442066,-0.0489959588920756,-0.1344469760973714,0.07700760233213777,0.05749227210354099
2030,-0.003823886052322669,-0.03973936983517286,-0.1278620887186545,0.07471810455397884,0.07758780979055784
