Model,R2,RMSE,MAE,Correlation
SVR,0.1216137080917703,0.8795570395990272,0.6770274514125255,0.425185113295523
RF,0.017878826900023737,0.9300445904120966,0.7099516776195578,0.31506766461944413
XGB,0.03648577895341676,0.9211922988225537,0.6894572286273739,0.3032776877799737
MLP,0.0833538018618174,0.8985083239266567,0.6591769718176339,0.3921229461745439
LSTM,0.060895538364843294,0.9094486571136603,0.6830605520469916,0.38662380222942117
