Model,R2,RMSE,MAE,Correlation
SVR,0.44685992834332167,0.5425651197831524,0.4254799528910471,0.7317309483290142
RF,0.25089148720348275,0.6314030507568795,0.511389634038183,0.5934981126533145
XGB,0.4328928012916362,0.549372466762865,0.4287003439186774,0.7008663086335482
MLP,0.40196068068079893,0.5641559579522433,0.45028173716775394,0.689846184462253
LSTM,0.5021320245207994,0.5147441335184517,0.4086210579666975,0.7538553392190377
