Model,R2,RMSE,MAE,Correlation
SVR,0.580122715083561,0.5849964747088267,0.4564457449515612,0.7851306452675684
RF,0.4498845943508888,0.6696054233311173,0.5141204633137062,0.6857004521729879
XGB,0.5674248019672032,0.5937763099957739,0.47377342863983596,0.7676385061093851
MLP,0.43115713815401535,0.6809076526339749,0.5489489103163895,0.6845071357213308
LSTM,0.600618681728178,0.5705397821057251,0.44118018660824526,0.7877073843542577
