Model,R2,RMSE,MAE,Correlation
SVR,0.5749651131004089,0.5885784379506004,0.4618489840012322,0.7817981355465713
RF,0.43775515033898604,0.6769472086096073,0.5165769062307051,0.6764882781827203
XGB,0.566647770799223,0.5943093684017974,0.4642709110871211,0.7636587228431291
MLP,0.4704645045408381,0.6569610127948515,0.5303610598304834,0.7217544925577692
LSTM,0.5833266972517417,0.5827602170376459,0.45072349937884953,0.7797406563632385
