Model,R2,RMSE,MAE,Correlation
SVR,0.1885027530445128,0.9776962467025221,0.6946337071292467,0.5793803186674236
RF,-0.03125257895937028,1.1021556882315302,0.7741074157337262,0.3819504164877498
XGB,0.10333438216131496,1.0277220658581099,0.7528265883414441,0.4586438116738767
MLP,0.014862187015621253,1.0772311842910984,0.7629064957475842,0.4378128534311583
LSTM,-0.024348453378616464,1.0984600852753368,0.7669261487850478,0.490449362245423
