time,Rainfall,Max_Temp,Soil_Moisture,SPI
1981-06-07,5.781021544968125,39.123943,310.882080078125,0.0
1981-06-14,4.874759136216484,39.90653,310.80816650390625,0.0
1981-06-21,5.541209270185146,40.425102,311.61981201171875,0.0
1981-06-28,32.69513425252734,34.459866,306.978271484375,-1.186550909922616
1981-07-05,144.31694641315045,31.590408,302.7796325683594,0.0734779281192387
1981-07-12,51.08196078126666,32.77041,303.8092346191406,-0.063371924754968
1981-07-19,158.5438291297777,30.75612,301.49237060546875,1.6405325511272169
1981-07-26,51.77584109971993,32.676872,302.29595947265625,1.6436030838762894
1981-08-02,138.50808937075365,31.113878,301.0121765136719,1.7497735841236757
1981-08-09,19.645033610916705,32.8785,301.5117492675781,1.7128701021296124
1981-08-16,36.24761508016365,32.336937,301.6084899902344,-0.1379194270002305
1981-08-23,104.42820896923432,32.232246,300.9334411621094,0.9178021375634848
1981-08-30,56.0389409513641,32.52299,301.04864501953125,-0.5117372232902312
1981-09-06,28.414784415958135,34.20762,302.15673828125,-0.1240836143257211
1981-09-13,155.76435838938846,31.033401,299.5999450683594,1.5436867540710453
1981-09-20,21.50402812037046,33.09272,300.44488525390625,0.8319404052066681
1981-09-27,22.414999410210957,32.361904,300.3963317871094,0.7485900679183617
1981-10-04,55.98013677600309,30.525557,299.2322082519531,1.344667662221173
1982-06-06,62.90752396376355,37.88008,307.4490051269531,0.0
1982-06-13,26.405681701037132,35.05619,309.05712890625,0.0
1982-06-20,30.8415912514838,34.452995,308.9719543457031,0.0
1982-06-27,15.346407596402576,36.58966,309.1371459960937,0.6520060957258118
1982-07-04,11.219035452598856,37.25476,309.7996520996094,-0.7182837939105073
1982-07-11,13.984382788303996,39.301567,310.51763916015625,-1.4845063287333256
1982-07-18,51.810853176063645,34.803745,306.1317749023437,-1.7252466379971134
1982-07-25,73.37925655663992,33.985237,304.2859802246094,-1.5109665407666208
1982-08-01,103.01777630234068,31.557278,302.4885559082031,-0.466092481360838
1982-08-08,103.97842262024535,32.775105,302.3456420898437,0.7697016011640082
1982-08-15,40.70957476052924,32.87769,302.56549072265625,0.9948448573659502
1982-08-22,58.04835521108913,32.88136,302.18243408203125,0.8755643635875375
1982-08-29,63.07953740868473,31.42034,301.2312316894531,0.2973389406259492
1982-09-05,100.00456083081934,31.026598,300.5902404785156,0.4451156755923949
1982-09-12,118.89372188016011,32.38524,300.7528381347656,1.637144285386518
1982-09-19,59.485970018934594,32.35735,300.09002685546875,1.501988884371908
1982-09-26,3.0549391440938423,33.7766,300.050048828125,1.089894904852181
1982-10-03,1.3086328592939969,33.166786,298.1983947753906,0.1264976906923767
1983-06-05,0.0918412147647273,41.45819,311.50518798828125,0.0
1983-06-12,14.474760345434838,40.436256,310.7945251464844,0.0
1983-06-19,9.414620110941849,38.262928,310.8949279785156,0.0
1983-06-26,13.311161476139825,39.41381,310.42010498046875,-0.8980262875373902
1983-07-03,130.6885198945873,32.294487,303.58465576171875,0.4091366178838608
1983-07-10,47.71836523695366,33.41932,305.36602783203125,0.2574851521704575
1983-07-17,32.00132189005831,36.43449,308.2453308105469,-0.1800167938291235
1983-07-24,61.17301291436718,33.37313,305.0194702148437,0.1056770451062821
1983-07-31,120.10042982483216,31.41973,302.7553100585937,-0.2235376685958035
1983-08-07,64.9797305768478,32.469593,302.650634765625,-0.0107826952478041
1983-08-14,12.163638167817444,33.55449,303.49188232421875,0.0452882568940902
1983-08-21,16.635258392179317,33.561024,303.3563842773437,-0.6873380481521751
1983-08-28,86.41723410067333,31.553333,301.4284973144531,-1.311844865620214
1983-09-04,27.55594741240361,32.768505,302.26300048828125,-2.0598720517637705
1983-09-11,78.89229111142294,31.759048,300.89178466796875,-0.3636547138833659
